dataset,algorithm,avg_size,raw_bytes,comp_per_version_bytes,filedag_bytes,dedup_bytes,dedup_comp_bytes,dedup_delta_bytes,comp_per_version_reduction_pct,filedag_reduction_pct,dedup_reduction_pct,dedup_comp_reduction_pct,dedup_delta_reduction_pct,delta_extra_pp_vs_dedupcomp,delta_extra_pp_vs_dedup,delta_residual_cut_pct,n_unique_chunks,n_delta_encoded,pipeline_MBps
git_repo,FSC,2048,8743614,1834895,100822,6496958,2563936,800284,79.01,98.85,25.69,70.68,90.85,20.17,65.15,68.8,3183,2710,0.86
git_repo,FastCDC,2048,8743614,1834895,100822,780733,273275,178057,79.01,98.85,91.07,96.87,97.96,1.09,6.89,34.8,205,61,4.23
git_repo,AE,2048,8743614,1834895,100822,655639,276371,216868,79.01,98.85,92.5,96.84,97.52,0.68,5.02,21.5,433,96,5.72
wiki,FSC,2048,467612,176360,9785,181092,95597,27720,62.28,97.91,61.27,79.56,94.07,14.52,32.8,71.0,98,81,1.71
wiki,FastCDC,2048,467612,176360,9785,73118,36962,27252,62.28,97.91,84.36,92.1,94.17,2.08,9.81,26.3,29,18,3.05
wiki,AE,2048,467612,176360,9785,70034,38694,16604,62.28,97.91,85.02,91.73,96.45,4.72,11.43,57.1,50,31,3.49
random_bin,FSC,2048,655360,655460,655460,655360,658560,658560,-0.02,-0.02,0.0,-0.49,-0.49,0.0,-0.49,0.0,320,0,0.68
random_bin,FastCDC,2048,655360,655460,655460,655360,657839,657839,-0.02,-0.02,0.0,-0.38,-0.38,0.0,-0.38,0.0,248,0,0.64
random_bin,AE,2048,655360,655460,655460,655360,660598,660598,-0.02,-0.02,0.0,-0.8,-0.8,0.0,-0.8,0.0,524,0,0.66
git_repo,FSC,1024,8743614,1834895,100822,6486718,2943029,955289,79.01,98.85,25.81,66.34,89.07,22.73,63.26,67.5,6345,5418,0.86
git_repo,FastCDC,1024,8743614,1834895,100822,661364,259888,198283,79.01,98.85,92.44,97.03,97.73,0.7,5.3,23.7,347,69,4.62
git_repo,AE,1024,8743614,1834895,100822,588348,284731,240723,79.01,98.85,93.27,96.74,97.25,0.5,3.98,15.5,774,132,6.12
git_repo,FSC,4096,8743614,1834895,100822,6535870,2292710,642532,79.01,98.85,25.25,73.78,92.65,18.87,67.4,72.0,1604,1365,0.83
git_repo,FastCDC,4096,8743614,1834895,100822,954918,302767,163549,79.01,98.85,89.08,96.54,98.13,1.59,9.05,46.0,127,55,3.67
git_repo,AE,4096,8743614,1834895,100822,773645,286474,199361,79.01,98.85,91.15,96.72,97.72,1.0,6.57,30.4,252,81,5.04
git_repo,FSC,8192,8743614,1834895,100822,6597310,2092452,500597,79.01,98.85,24.55,76.07,94.27,18.21,69.73,76.1,813,708,0.84
git_repo,FastCDC,8192,8743614,1834895,100822,1285982,373620,152559,79.01,98.85,85.29,95.73,98.26,2.53,12.96,59.2,86,51,3.04
git_repo,AE,8192,8743614,1834895,100822,1003779,332314,180387,79.01,98.85,88.52,96.2,97.94,1.74,9.42,45.7,159,76,4.17
git_repo,FSC,16384,8743614,1834895,100822,6662846,1929597,471734,79.01,98.85,23.8,77.93,94.6,16.67,70.81,75.6,414,368,0.82
git_repo,FastCDC,16384,8743614,1834895,100822,1632297,446628,141033,79.01,98.85,81.33,94.89,98.39,3.5,17.06,68.4,63,44,2.54
git_repo,AE,16384,8743614,1834895,100822,1387547,417658,174385,79.01,98.85,84.13,95.22,98.01,2.78,13.87,58.2,113,71,3.22
