dataset,algorithm,avg_size,raw_total,n_versions,n_chunks_total,n_unique,avg_chunk_size,n_delta_encoded,pct_chunks_delta,t_chunk_s,t_delta_s,chunk_MBps,pipeline_MBps
git_repo,FSC,2048,8743614,20,4280,3183,2041.143,2710,85.14,0.001,10.223,6994.192,0.855
git_repo,FastCDC,2048,8743614,20,2599,205,3808.454,61,29.756,0.848,1.217,10.308,4.233
git_repo,AE,2048,8743614,20,5915,433,1514.178,96,22.171,0.528,1.002,16.562,5.717
wiki,FSC,2048,467612,20,240,98,1847.878,81,82.653,0.0,0.273,10949.017,1.711
wiki,FastCDC,2048,467612,20,200,29,2521.31,18,62.069,0.042,0.112,11.174,3.048
wiki,AE,2048,467612,20,321,50,1400.68,31,62.0,0.028,0.106,16.498,3.485
random_bin,FSC,2048,655360,10,320,320,2048.0,0,0.0,0.0,0.965,8070.134,0.679
random_bin,FastCDC,2048,655360,10,248,248,2642.581,0,0.0,0.061,0.964,10.777,0.64
random_bin,AE,2048,655360,10,524,524,1250.687,0,0.0,0.039,0.96,16.641,0.656
git_repo,FSC,1024,8743614,20,8549,6345,1022.335,5418,85.39,0.002,10.214,5623.807,0.856
git_repo,FastCDC,1024,8743614,20,5026,347,1905.948,69,19.885,0.872,1.02,10.027,4.621
git_repo,AE,1024,8743614,20,11658,774,760.14,132,17.054,0.528,0.901,16.557,6.118
git_repo,FSC,4096,8743614,20,2143,1604,4074.732,1365,85.1,0.001,10.475,10212.525,0.835
git_repo,FastCDC,4096,8743614,20,1298,127,7519.039,55,43.307,0.856,1.529,10.209,3.666
git_repo,AE,4096,8743614,20,2919,252,3070.02,81,32.143,0.527,1.207,16.593,5.041
git_repo,FSC,8192,8743614,20,1075,813,8114.772,708,87.085,0.001,10.468,10437.023,0.835
git_repo,FastCDC,8192,8743614,20,660,86,14953.279,51,59.302,0.834,2.039,10.485,3.043
git_repo,AE,8192,8743614,20,1470,159,6313.075,76,47.799,0.529,1.566,16.531,4.173
git_repo,FSC,16384,8743614,20,541,414,16093.831,368,88.889,0.001,10.636,13172.215,0.822
git_repo,FastCDC,16384,8743614,20,380,63,25909.476,44,69.841,0.825,2.615,10.593,2.541
git_repo,AE,16384,8743614,20,741,113,12279.177,71,62.832,0.527,2.187,16.589,3.221
